name;email;about;types;website;crunchbase_id;investing_range_min;investing_range_max
500 Startups (Miami);anabella.rojas@500startups.com;;1;https://miami.500.co/miami/;;;
CIC Miami;martinez@cic.com;;8;https://miami.500.co/miami/;;;
Krillion Ventures;melissa@krillionventures.com;partner with entrepreneurs who challenge the status quo. The teams that fly fast and inspire. The ones that capture our imagination and leave us thinking of the possibilities long after the meeting has ended. The one in a krillion.;1;http://www.krillionventures.com/;;;
Latinas in Tech;rosajc@gmail.com;Latinas in Tech is a non-profit organization with the mission to connect, support and empower Latina women working in technology.;4;https://www.latinasintech.org/;;1;3
Miami Angels;rebecca@miamiangels.vc;Our group is comprised of over 100 angel investors who are passionate about early-stage ventures. Beyond providing capital, we collaborate with founders to ensure they have access to best in class resources and a path to future funding.;1;https://www.miamiangels.vc/;;4;5
Scale Up Miami/ The Idea Center at Miami Dade College;ggrande@mdc.edu;Scale Up Miami is a free four-month training program for small businesses located within Miami-Dade County. Throughout five Saturdays, you will learn how to improve your business operations, refine your marketing strategy, and gain the financial know-how to access new funding channels. The training program will include one-on-one business coaching to help you implement what you learned.;6;https://theideacenter.co/scaleupmiami/;;1;3
The LAB Miami;fernandezwifredo@thelaunchpad.org;The LAB Miami is a creative campus for entrepreneurs and innovators. We converted a 10,000 sqft warehouse in the Wynwood Arts District into a collaborative work and event space. It is a collision point for Miami’s forward-thinking minds.;8;;;1;2
The Venture City;monica@theventure.city;"We work with tech startups from around the world to help grow and internationalize their business.
Our team of growth, product, engineers, innovation, operations, culture and financial experts with international expertise work with your team as a hands-on advisors that you can access as often as you need";1;https://theventure.city/;;1;9
Miami DDA;boston@miamidda.com;"The Miami DDA is collaborating with its partners at the City and County levels while also working with the private sector on strategies that will keep our vibrant young urbanites in the neighborhood they helped to invigorate. At the same time, the Miami DDA is advocating for greater investments at the street level to improve quality of life and make Downtown’s streets safer, cleaner and more walkable. Additionally, the Miami DDA is helping realize major infrastructure projects like Flagler Street’s redevelopment, Biscayne Green and Baywalk that will collectively reimagine Downtown’s streetscapes, activate its waterfront and get people out of their buildings and into the community.";2;http://www.miamidda.com/;;1;3
Urban Impact Lab Miami;marta@urbanimpactlab.com;We provide clients and funders with in-depth research and analysis of existing data, local policy, and evidence-based strategies and trends. Our approach entails diligently collecting and analyzing data, conducting on-the-ground research, and assessing local policy to shape recommendations, insights, and strategies.;2;https://www.urbanimpactlab.com/;;1;4
Refresh Miami;peter@investready.com;Refresh Miami is a community of hackers, early adopters, entrepreneurs and change artists. We’re a hub of inspiration and resources for people who develop innovative solutions, seek new technology and chase down dreams. With 10,000 members and a following of nearly 20,000, we’re the largest tech and entrepreneurial community in South Florida and beyond. Our mission is to educate, inspire, connect and grow South Florida’s tech and startup ecosystem. Welcome to Refresh.;2;https://www.refreshmiami.com/;;1;2
Florida Funders;sam@switchboard.live;;1;https://www.floridafunders.com/;;5;6
The Venture Cafe;lbuchanan@jwu.edu;We provide, the energy, community, and space to foster spontaneous collisions and collaborations. Meet your next co-founder, find your next round of funding – you never know what might happen.;8;https://venturecafemiami.org/;;1;2
West Palm Beach Tech;russojoseph@palmbeachtech.org;"The Palm Beach Tech Association is a non-profit 501(c)6 membership association uniting and building the software, engineering, digital, and information technology industry verticals throughout Palm Beach County. As a countywide trade association, Palm Beach Tech promotes industry growth by working with educational institutions, government entities , and business groups to support the goals of member companies. Our core focus is fixed on producing long-term economic impact by attracting new business, supporting startups, and building the talent pool.";2;https://palmbeachtech.org/;;1;4
A Space Called Tribe;dimitri@codefevermiami.com;;8;https://www.spacecalledtribe.com/;;1;3

